cafe_name,overview,concept
할리스 충남대점,매장분위기가 너무 좋아요 넓고 쾌적하고 직원들도 넘  친절해서 일방문중입니당 ㅎㅎ 항상 친절한 인사 감사합니다 오늘은 야외에서 유럽분위 친절하고 매장이 넓어여 인석까지 있어서 혼자 가기 편해요 좋아요 다음에도 이용하려구요 공부하기 좋고 쾌적해요,"1인석, 스터디룸, 넓은 홀, 빵, 케이크"
메가MGC커피 충남대점,"수다떨기도 공부하기도 좋아요, 싸고 맛있어요, 딸기라떼 맛있습니다 맛있습니다 메가커피 좋아요 내 취향입니다","빵, 케이크"
이디야 충남대점,공부나 집중하기 좋아요 공부하기 좋아요 편하게쉬고가요음료랑케익도맛있어요  분위기도 좋고 사장님도 친절하시고 음료도 맛있어서 좋아요  주말이어도 가게가 조용하고 쾌적해서 좋네요  이디야 깔끔하고 좋아요,"빵, 케이크"
더벤티 충남대점,직원분들도 친절하고 맛있어요 강추 초코쉐이크 먹었는데 정말 찐하고 맛있어요!! 태어나서 더 벤티 처음가봤는데 완전 맛있네요!!!!! 할리스 딜라이트보다 더 진하고 맛있어요! 커피맛있어용,
팔공티 충남대점,가성비가좋아요 팔공티 넘 좋아요 항상 먹는 곳 싸고 맛있어요 항상 우롱밀크티 존맛 싸고 맛있는 팔공티 ,
파리바게뜨 대전궁동점,아침 시에 열어서 좋아요 빵도 맛있고 샐러드도 신선해요  친절해요 빵 종류도 꽤 많은 것 같고 친절하세요 제품도 다양하고 직원분이 친절하세요,"베이커리, 빵, 케이크, 샌드위치"
던킨 충남대점," 공부하기 좋아요 친절하시고 도넛 종류 많아요, 정말 친절해요 바쁘실텐데 전화까지 주셔서 설명도 해주시고ㅜㅜㅜ 감사합니다 또 갈게요,  친절하고 깨끗해요 인테리어도 예쁘고, 도넛도 다양하고 맛있고 커피도 맛있어요 ","베이커리, 빵"
카페카페,딸기 빙수 맛있어요 아이스크림 와플도 맛있어요 굿 친절해여 인테리어 깨끗하고 넘 좋아요 빙수 맛있기로 유명한 곳 딸기빙수 너무 맛있어요 대전카페 몇년만에 방문했는데도 여전히 맛있네요 다크초코스무디와 민트초코스무디로 해장하고 다녔는데 가게가 깔끔해져서 몰라봤어요 테이크아웃  역시 빙수 최고입니다갈때마다 딸기빙수 꼭 먹어요,"빵, 케이크, 2층 이상"
쥬씨,궁동에서 점심 먹고 항상 들르는 디저트 맛집ㅎㅎ 가성비 최고 쥬씨 싸고 좋습니다 싸고 맛있어요 저렴하고 맛도 좋아요 부담없는 가격인데 맛도 굿굿 부담없는 가성비음료,
루티나,"카페 내부가 넓어서 너무 쾌적하고 좋았어요공부하기도 좋고 여러명이 와도 좋을 것 같고직원분들도 다 너무 친절하세요 ㅎㅎ딸기치즈라떼 시켰는데 완전 부드럽고 달달하고맛있어요ㅠㅠ 디저트는 크로플 완전 추천입니당
맛은 나쁘지 않은데 가성비는 그닥 매장도 넓고 테이블 간격도 넓고 충전 케이블 꽂을 곳도 많아서 공부하기엔 좋아요 직원분들도 친절하세요","빵, 케이크, 넓은 홀"
유람, 브런치 맛집 저렴한 가격은 아니지만 분위기와 맛 모두 좋은곳  분위기 좋은 곳 공간별로 약간 분위기가 달라요 그래서 사진찍기에도 좋고  분위기 좋아요 얼그레이 초코케이크 맛있어요 ,
엔제리너스 대전유성D/I점,일층도 예쁜데 못찍었네요 ㅎㅎ 우리 생각 이상의 엔젤리너스입니당 주차도 편하고베이커리종류도 다양해서 정말 좋아요  인테리어가 정말 이쁨 층보다는 층이 좋고외관이 이쁜 곳 새로생겨서 깨끗하구 예뻐욤ㅎㅎ  빵 종류가 진짜 다양하고 음료도 맛있어요 ,"빵, 케이크, 넓은 홀, 2층 이상"
르뺑99-1,빵 종류 모든 다 맛있어요 진쨔 강추 진짜 맛있어요 하도 여기 까눌레가 기절할 정도로 맛있다고 하길래 한 번 와봤는데 진짜 맛있습니다 너무 맛있어요 까눌레 먹고 기절할뻔했어요내부도 예쁘고 빵도 맛있는 카페 앙버터 진짜 맛있어요 팥알이 살아있고 너무 달지도않고 맛있어요 까눌레도 겉은 바삭 무화과타르트부드럽고맛있었어요 이곳은 빵의 천국,"베이커리, 빵, 케이크"
커피인터뷰,커피 맛있고 인테리어 굿 ㅎㅎ 분위기 넘 좋아요 유성에 이런 카페가 생기다니진심 미첬슴동남아 휴양지 리조트에 온거 같은 느낌이였어요  인테리어가 너무 이뻐서 맘에 들어요 포토존도 많고 오픈한지 얼마 안됐는데 벌써 핫플이네요 낮밤 둘다 갔는데 분위기 최고에요 커피인터뷰만의 이국적인 분위기와 조명이 어우러져서 좋아요,"빵, 케이크, 주차 가능"
달콩수제팥빙수단팥죽,유리빙수그릇도 정겹네요달지않고 통팥이 씹히는 맛우유의 부드러움까지 맛있어요 수제팥빙수 너무 좋아요ㅠ  단팥이 너무 맛있어요  가성비 좋은 맛있는 팥빙수집,
블레스롤 대전유성본점,아이스크림 들어간 음료가 맛있어요 좌석이 넓고 층에는 분리형 공간이 있어서 모임하거나 공부하기 좋을 것 같아요 공부하기 좋은 카페인것같아요 무지개케이크와 무지개 아이스크림이 시그니쳐 무지개케이크 너무 맛있어요 아이스크림도 진짜 맛나용 맛집 한번 방문하고 계속 재방문 하는 것 같아요아이스크림 케익 정말 맛있습니다  분위기 고급스럽고 친절하시고 매장도 넓고 너무 좋았어요 무지개케이크 너무 맛있었어요 분위기도좋고 케이크도 짱부드럽고 너무너무맛나요,"케이크, 넓은 홀, 2층이상, 주차 가능"
하루팡,사장님 진짜 친절하시네요 이것저것 물어보면 설명도 너무 잘해주시고 감사했습니다 겉은 바삭하고 안에는 촉촉한 소금빵의 정석 진짜 맛있어요 무화과크림치즈휘낭시에메론빵 겉이 바삭해서 좋다 메론빵이 많이 안달아서 좋았어요소금빵도 미니미해서 전 딱 좋았어요 커피 저렴하고 양이 많아요 각보다 빵종류가진짜많아서 좋았어요다 맛있더라고요 ㅎㅎ앉아서 먹을 자리도있고 굿,"베이커리, 빵, 케이크"
파이룸,역시 맛있네요 캬라멜 소금빵 처음 먹어보는데 짱맛탱 소금빵이야 말모말모 프레첼베이글 카야잼스콘 특색있게 맛있게 먹었어요 치아바타샌드위치가 맛있다는 리뷰보고 사먹었는데 진짜 맛있었어요  친절하고 재료도 아낌없이 넣어주셔서 그런가 맛있음 치아바타 샌드위치는 자주 먹는데 늘 먹어도 맛있어요 ,"베이커리, 빵, 케이크"
데일리오아시스 대전유성점,"음료가 맛있고 굿즈도 예뻐요 시원하고 좋아요, 사진 맛집 커피 맛집 빙수 맛집 수플레 맛집 주차하기도 편해서 좋았습니다 아니 진심으로 여기 망고빙수 너무 맛있는거아닌가요 망고가 그냥 미쳤어요 아주 부드럽고 입에서 살살녹아부러요 수플레가 너무 맛있어요","빵, 케이크"
헬로우블룸,소금빵 개시되었다는 소식듣고 방문했어요 역시는역시 겉은바삭 속은쫀득 담백한스타일 역시 디저트는 정말 맛있어요  주문케이크 했었는데 너무예쁘고 맛있어서 인기만점이였어요 도시락 케이크 사러 왔다가다른 것들도 왕창 사가요너무 맛있어요 처음 와봤는데 디저트도 다양하고 좋아요 커피 맛있어요 소금빵도 수제 케이크 너무 이쁘고 맛있어요 가게도 이쁘고 사장님이 친절하세요,"빵, 케이크"
스토랑트커피 대전봉명점,인테리어 정말 예뻐용 시간 카페라 공부하는 학생들이 많아서 분위기는 괜춘 ㅎㅎㅎ 공간 활용이나 조용한 분위기 시간이라는 점은 정말 좋았어요 공부나 작업하러 오기 좋은 곳이에요,"빵, 케이크, 넓은 홀, 2층 이상"
쉬즈베이글,여러번 방문해서 다양한 메뉴를 먹어봤는데 정말 다 맛있네요저는 주로 닭가슴살 샐러드 토스트 너무 맛있어요 양배추도많이들어서 씹는맛도 짱입니다 커피가 저렴한데 양도 많고 자몽에이도 짱 맛있었어요 주차가 너무 편하네요 주차 편한게 그렇게 좋더라구여 에그브런치샐러드랑 닭가슴살샌드위치 좋았어요,"빵, 샌드위치, 주차 가능"
스타벅스 대전도안DT점,2층 올라갓는데 너무 스터디카페 분위기라 다들 공부하고 노트북 두드리는 분위기였어요. 공부하기 좋네여 근데 사람이 넘 많음 자주 가는 곳이예요 주차도 편하고 카페도 넓어요 빠르고 친절하고 매장이 깔끔합니다 편리하고좋아요,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능"
스타벅스 대전유성점,혼자와서 공부하기 좋아요 ㅎㅎ 창문을 바라보며 공부하기 너무 봏아요 스벅은 항상 사람이 많지만 눈치 안보이고 카공으로 딱 직원분들 너무 친절하세요 매우친절하고 좋아요 일하시는 분이 너무 친절하시네요 귯귯 ,"빵, 케이크, 샌드위치, 넓은 홀"
할리스 유성온천점,공부하는 사람 반 대화하는 사람 반이었어요 친절하시고 공부하기좋아요 정말 자주가요 공부하기도 좋고 수다떨기도 좋아요 2층으로 되어있어서 집중하기 좋아요 매장도 넓고 편안하고 좋네요직원도 친절해요 자주 이용해야겠어요,"빵, 케이크, 샌드위치, 넓은 홀, 2층 이상, 주차 가능"
설빙 유성온천점, 설빙 완전 존맛탱맛나게 드세욤  미쯔 설빙굳이 멜론 아님 블루베리나 망고 먹기 좋아요 맛있습니다.,주차 가능
파스쿠찌 유성온천역점,아이스초코도 맛있고 공부하기도 좋아요 엄청 친절하시고 매장이 엄청 깔끔해여 깔끔하고 샌드위치 진짜 맛집입니다사장님도 너무 친절하세요 공간이 넓어서 좋음 매장이 깨끗해요 친절 인테리어 굿,"빵, 케이크, 샌드위치"
파스쿠찌 대전 봉명점,"카공족이 이용하기에는 최적의 카페, 혼자 공부하거나 얘기하기 좋아요 아주 자리가 넓어서 좋습니다 공부하기도좋고 대화하기도좋아요
공부하기 좋은 자리가 있어서 자주 갈 것 같아요 편안하게 먹기 좋았어요  공부하는 학생들이 많아요
공부하는사람 무지많어요
매장도 넓고  깨끗하고 의류건조기도 있고 공부하기도 좋은 곳입니다
매장이 넓고 공부하는 학생들 위한 자리가 있는데 학생들이 많아요
공부하기 좋아요
매장도 넓고 공부하는곳도 따로있어서 자주오고싶어요
넓고 사람이많다 공부할수있는 공간이 잘되어있다","빵, 케이크, 샌드위치, 넓은 홀, 1인석"
탐앤탐스 대전유성점,"카공족에게 너무 좋은 곳 카공족들 베스트 카페 공부하기 좋아요  공부하기 아주 조와요
깨끗하고 공부하기 좋은 분위기네요 도서관카페임 사람들 다 공부하러와서 진짜 도서관 온 줄 오늘은 2층이 너무 심각하게  조용한 분위기였어요","빵, 케이크, 샌드위치, 넓은 홀, 2층 이상"
파리바게뜨 유성푸르지오점,빵도 맛있고 좋아요 대박대박  시 넘어서와도 빵종류랑 샌드위치 샐러드 종류가 많네요  늠맛있구 사장님이 오늘은 영업시간  연장해주신다 해서 좋았어요  젊으신 사장님이 친절하십니당 ㅎㅎ 친절한 응대 감사합니다 맛있게 잘먹을게요 친절하시고 종류 많아서 좋아요 아침에가면 종류도 많구 친절하셔서 넘 좋았어요,"베이커리, 빵, 케이크, 샌드위치"
카페소담,조용하고 좋고 친절합니다 날씨 좋은날 야외테라스 좋네요 분위기도 좋고 음료 맛있어요  직원분들이 친절하세요 커피도맛있어요 또 방문하겠습니다  카페 분위기도 좋고 메뉴도 다양해요,
빽다방 대전유성리베라점,음료맛도 좋고 친절하시고 매장도 깔끔해서 좋아요 맨날 스마트오더하다 간만에 매장결제 일주일에 반이상은 이용하는듯요항상 친절하시구 빨리 나와서 좋아요 감사해용 일주일에 세번이상 들리는곳 ㅎ 항상 빨리나오는편이라좋아요 친절하세요 출근길에 스마트오더 강츄에요 가까워서 매일이용하는데 매일 좋아요  사장님언니들 정말친절하시구 서비스든 커피든 믿고먹는 맛쥡손님이지만 늘 감사함돵 ㅎㅅ근데여긴 얼굴보고 뽑나요 다들너무예쁘신둣 친절하고 맛도 좋고,
빽다방 대전봉명우산점,인테리어도 예쁘고 친절해요 가성비 대박에 바닐라라떼 너무 맛있어요사장님도 친절하세요 친절하고맛있어요 좋아요 사장님 친절하세여 시원하고 깨끗하고 좋아요,
킁킁커피,항상 갈때마다 친절하셔서 좋아요참새가 방앗간들리듯 자주갑니당 가게가 깔끔하고 예뻐서 친구들이랑 방문했는데음료가 전체적으로 저렴한데다가 맛도 있구도넛은 기름지지 않고 진짜 깔끔 담백으로 맛있네요 그리고 저 킁킁이 귀여워요 ㅋㅋㅋㅋㅋㅋ 강력추천합니다 빵도맛있고 도넛도 너무맛있었어요 커피도맛있고 떠오르는 커피맛집입니다 진짜 너무맛있었습니다 인테리어도 이쁘고 여러모로 좋았네요 정말 추천합니다 커피 너무 맛있게 잘먹었고 직원들도 친절해서 좋았어요 음료도 맛있고 디저트도 너무 맛있어용,빵
이디야 대전유성온천역점,조용하고 깨끗하고 좋습니다 이디야는 역시 가성비 최고 입니다 맛있게 먹구 갔습니다 두번째 방문인데 첫번째에 너무 친절하시고 음료나 디저트메뉴가 맛있어서 머그컵하나 사려고 스타벅스 가려다가 건너편에 있는 이디야보고 이디야에서 머그 샀어요 근데 머그가 천원밖에 안해 연유 콜드브루 맛있어 사장님으로 보이는 분 친절하세요  일하시는 직원분들도 항상 친절하시구매번 갈때마다 맛도 한결같이 맛있어서주변에 이 지점으로 이용하고 있어요 여기 가게 사장님도 친절하시고 다른 체인점보다 훨씬 맛있어요,"빵, 케이크"
투썸플레이스 유성봉명점,콜드브루 맛있네요케이크도 맛있었어요 매장 시원하고 넓어서쾌적했습니다 조용하게 차 마시기 좋아요 봉명동에 투썸플레이스가 새로 생겼어요 매장도 깔끔하고 인테리어도 멋져요간단히 커피 한잔하러 갔는데 또 들릴게요 매장이 넓고 케이크 종류가 많아서 좋아요 친절하고 좋아요,"빵, 케이크, 주차 가능, 넓은 홀, 스터디 룸"
투썸플레이스 대전유성온천점,넓어서 공부하기 왕좋아요 케익이 맛있어요매장도 청결하고 디저트도 맛있지만 케이크 종류가 더 다양했으면 좋겠어요 예쁘고 맛있는 케이크친절하고 커피맛있어요,"빵, 케이크, 넓은 홀, 2층 이상"
투썸플레이스 대전도안바로세움점,얘기하기 좋은 공간이 있어서  좋았어요흑임자카페라떼 리뷰에 추천있어서 주문 만족ㅎ깨끗하고 넓어서 좋아요 공부도 잘되길 케이크 비주얼 미쳤슴다 신메뉴라 고민 많이했는데 직원분이 친절히 알려주시고 추천해주셔서 먹어봤는데 맛있네요 밝게 인사도해주셔서 기분좋게 먹고갑니다 ㅎㅎ주차장 넓고 편해요 물론 디저트두 맛있구 친절하네요담에 자주 올거같아요매장넓고 편해요,"빵, 케이크, 주차 가능, 넓은 홀"
감성커피 대전유성점,맛있고 이쁘고 친절해요 대전올때 항상 마시는 커피 디저트도 맛있고 커피도 맛잇는데 가격도 굿 친절하십니다 초록매실 슬러시 새롭고 좋네요수제달고나 오랜만에 먹으니 맛있네요 여기 위에 살아서 자주 오는데 항상 오늘의커피행사하는 아메리카노 먹다가 라떼 먹었는데 라떼도 역시네요  저가 커피는 감성커피가 최고인거 같아요맛최고 위생도 최고 친절도최고,빵
뚜레쥬르 대전도안봉명점,뚜레쥬르 이 지점은 처음 와보는데 샌드위치 종류가진짜 많이서 놀랐어요 넘 좋네요ㅎㅎ 그리고 무엇보다 직원분들이 인사를 너무 잘 해주셨어요 솔직히 프렌차이즈에서 친절함은 기대 안 하는데 나갈 때도 좋은 하루 보내라고 말씀도 해주시고 기분이 좋더라고요 덕분에 기분 좋은 하루 됬습니당직원분들도 친절하시고 빵이 맛있어요 친절하시고 빵 종류도 많아서 좋아요빵 종류 다양하고 청결해요 친절해서 좋아요좋아요 빵종류 다양하고 샌드위치 맛남,"베이커리, 빵, 케이크, 샌드위치"
디저트39 대전봉명점,음료랑 디저트종류가많아서 결정장애옵니다ㅋ매장이 크진 않지만 아기자기 이뻐요 치즈프로마쥬음료 독보적인 맛 단짠 맛있게 먹고 나니 밥도 아닌데 왕든든하네요ㅋ 컵재활용하기딱좋아요곰돌이 텀블러 너무 귀여워서 결국 구매했어요 ㅋㅋㅋㅋㅋㅋㅋㅋ 디저트도 너무 맛있고 시즌은료인 수박계열도 너무 맛있어요 특히 사장님 정말 너무 친절하셔서 기분이 좋았어요 다음에 방문할땐 영수증 모아서 텀블러도 증정받고 곰돌이 텀블러 하나 또 데리고 와야겠어요 메뉴가 다양하고 가성비 좋습니다 건강음료도 있어 좋네요커피가 맛있고 리유저블 컵에다 주는거 정말 좋은거같아요가까운 곳에 위치해서 자주 가는 카페 입니다 커피 맛도 좋고 음료도 맛있는데다가 사장님이 엄청 친절하세요,"빵, 케이크"
빽다방 대전유성센트럴점,친절하고 음료도 맛있어요 토마토주스 맛있어요 청결하고 서비스도 좋아요 맛있어요 가성비짱 맛있어요,
브레드마마 봉명점,빵 맛있어요 커피 맛있어요 변함없이 한자리에서 맛있는 빵과 쾌적한공간 좋습니다 자극적이게 달지 않고 은은하게 달달한 맛 정말 맛있는 케익이네요사과도 은은하게 달달하면서 상큼하고 생크림도 너무 맛있습니다 시트도 촉촉하면서 굉장히 부드럽구요 진짜 맛있어요 훌륭다른 케익의 맛이 궁금할 정도네요 어니언 베이글진짜 맛있어요 최고 치아바타 집에서 오븐에 살짝구워거 샌드위치 해먹었는데 너무 맛있어요빵 맛있어서 자주 들려요,"베이커리, 빵, 케이크, 샌드위치"
오슬로의 시간,배터지게 넘 잘먹었습니다ㅎㅎㅎ분위기도 넘 좋고 맛도 넘 만족스러워요 특히 피자도우가 페스츄리라서 바삭하니 넘 맛있었어요 음식 맛전체적으로 다 맛있었어요 식사 후 후식으로 머시멜로와 푸딩도 너무 맛있었구요특히 여사당님의 친절 감사합니다 올때마다 존맛탱 음식에 기분 좋게 먹고가요ㅎㅎㅎ매일 웃으면서 인사해주시는 사장님 좋음양식은 요집 추천사장님 내외분들 너무 친절하시고 직원분들도 친절하세요 같이 키우는 냥이들도 넘나 귀여웠습니다 주차장도 넓어요 또 갈게유 번창하세용맛있어요 사진엔 담지못했지만 페스트리 도우에 치즈가 듬뿍들어간 고르곤졸라 피자 강추합니다,"넓은 홀, 주차 가능"
콜마르브레드,빵이 맛있어서 자주 가요빵종류 많고 맛있어요 매장청결하고 친절하시네요 빵 종류도 다양하고 맛있는 빵 많아요초코스콘 초코 좋아하시는 분들한테 완전 강추빵 종류가 진짜 많더라구요 너무 맛있어서 재방문의사 있습니당 대전 빵집 필수코스라 가봤는데 기대 이상이네요 재방문의사 있습니당,"베이커리, 빵, 케이크, 샌드위치"
카페희스밀,분위기도 좋고 음식도 넘 맛있어요특히 허니 바질피자 넘 맛있었어요 맛있어요자주가는데 커피도맛있고 분위기도 좋습니다 특히 밀크티 빙수 개존맛망고에이드도 맛나구욤차 종류가 엄청 많아서 고르기 힘들었는데 넘 맛있었어요 인테리어도 예쁘고 깨끗해요아메리카노가 맛있는 곳입니다 파니니도 맛있지만 커피맛 생각나서 가게 되는 곳이에요 엔틱 유럽풍 분위기가 좋고 음료도 맛있어요,
다온by모루,맛있어요매장도 이쁘고 기분내기 좋아요 맛있어요 친절해요 처음왔을때 먹었던 저 리조또가 너무 맛있었어서 두번째 방문했어요 다른테이블보니 에그베네딕트를 다 드시던데 대표메뉴인지 담번엔 에그베네딕트를 꼭 먹어보려구요ㅎㅎ깔끔하고 맛있어요 직원 분들이 엄청 친절하시고 서비스 좋아요 음식도 맛있고 제 입맛에는 연어랑 수란은 비렸지만 홍게살 로제 파스타 너무 맛있었어요 평일에도 사람이 많으니 오픈 어택을 노려보세요가족과 함께 점심 먹으러 왔는데 직원분들도 친절하고 음식도 맛있었습니다,
파스쿠찌,아아 맛집 그라니따맛집 맛집맛집 알바생분들 정말 친절해서 좋아요 매장이 넓고 사람도 많은데 쾌적함이 최고입니다 넓은데 쾌적하고 깔끔하네용 파스쿠찌는 역시 그라니따가게도 깔끔하고 항상 친절하세여 매장이 넓어서 좋아요맛있어용 다음에 또 올게요,"빵,케이크, 샌드위치, 주차 가능, 1인석, 넓은 홀"
커스텀커피 ,숙성우유 덕분인지 정말 라떼 원탑이에요 최근에 초코라떼도 먹어봤는데 엄청 맛있더라구요  라떼맛집 진짜 인정입니다 직원분들 친절하고 매장 깨끗하고 좋네요 카페라떼도 약간 달콤한 맛이 있어 좋아용쑥라떼 정말 맛있어요 사장님도 정말 친절하십니다 친절하세요 다음에 또 이용의사 있어요매장 깔끔하고 음료 맛있어요 이번엔 캔라떼샀지만 흑임자라떼 추천해요 ㅎㅎ,
카페미뇽 ,맛있고 분위기 좋고 친절하셔서 유모차 끌고 자주 찾는 카페 요즘 제철인 무화과 타르트 완전 취저네요ㅠ 에그 바나나 타르트도 강추해요 매장 깔끔하고 친절해요타르트 종류가 많고 계절마다 바뀌는구성도 좋아요 친절한 배려덕분에 아기랑 편안히 쉬다갑니당아기데리고 가기 넓고 쾌적하고 맛도 좋네요 음료도 맛있고 깔끔하네요디저트 맛집 음료도 맛있어요사장님 친절하세요 재방문 할게요,주차 가능
